t,arrivals,starts,departures,queue_len,busy_servers
264,1,1,1,40,2
265,0,1,1,39,2
266,2,0,0,41,2
267,0,0,0,41,2
268,0,0,0,41,2
269,3,2,2,42,2
270,0,0,0,42,2
271,0,0,0,42,2
272,1,1,1,42,2
273,0,0,0,42,2
274,0,1,1,41,2
275,0,0,0,41,2
276,1,1,1,41,2
277,0,1,1,40,2
278,4,0,0,44,2
279,1,0,0,45,2
280,0,0,0,45,2
281,0,1,1,44,2
282,0,1,1,43,2
283,2,0,0,45,2
284,0,0,0,45,2
285,0,1,1,44,2
286,1,1,1,44,2
287,0,0,0,44,2
288,0,1,1,43,2
289,1,1,1,43,2
290,0,0,0,43,2
291,0,0,0,43,2
292,0,1,1,42,2
293,1,0,0,43,2
294,0,1,1,42,2
295,0,1,1,41,2
296,0,0,0,41,2
297,1,0,0,42,2
298,1,1,1,42,2
299,0,1,1,41,2
300,2,0,0,43,2
301,1,0,0,44,2
302,0,0,0,44,2
303,0,1,1,43,2
304,2,1,1,44,2
305,0,0,0,44,2
306,0,0,0,44,2
307,1,1,1,44,2
308,0,0,0,44,2
309,2,1,1,45,2
310,0,0,0,45,2
311,0,0,0,45,2
312,0,1,1,44,2
313,1,0,0,45,2
314,0,1,1,44,2
315,1,0,0,45,2
316,0,2,2,43,2
317,0,0,0,43,2
318,0,0,0,43,2
319,1,0,0,44,2
320,0,2,2,42,2
321,1,0,0,43,2
322,0,1,1,42,2
323,2,0,0,44,2
324,0,0,0,44,2
325,1,1,1,44,2
326,0,0,0,44,2
327,1,1,1,44,2
328,0,0,0,44,2
329,1,1,1,44,2
330,0,1,1,43,2
331,0,0,0,43,2
332,0,0,0,43,2
333,1,1,1,43,2
334,0,0,0,43,2
335,1,1,1,43,2
336,0,0,0,43,2
337,0,1,1,42,2
338,0,1,1,41,2
339,1,0,0,42,2
340,0,0,0,42,2
341,0,0,0,42,2
342,1,1,1,42,2
343,3,1,1,44,2
344,0,0,0,44,2
345,0,0,0,44,2
346,1,2,2,43,2
347,0,0,0,43,2
348,0,0,0,43,2
349,0,2,2,41,2
350,3,0,0,44,2
351,0,0,0,44,2
352,0,0,0,44,2
353,0,0,0,44,2
354,2,2,2,44,2
355,0,0,0,44,2
356,1,0,0,45,2
357,0,0,0,45,2
358,0,0,0,45,2
359,4,2,2,47,2
360,1,0,0,48,2
361,0,0,0,48,2
362,0,0,0,48,2
363,0,1,1,47,2
364,1,1,1,47,2
365,0,0,0,47,2
366,0,0,0,47,2
367,0,0,0,47,2
368,1,1,1,47,2
369,0,1,1,46,2
370,1,0,0,47,2
371,2,2,2,47,2
372,0,0,0,47,2
373,0,0,0,47,2
374,0,2,2,45,2
375,1,0,0,46,2
376,0,0,0,46,2
377,0,0,0,46,2
378,0,1,1,45,2
379,3,1,1,47,2
380,0,0,0,47,2
381,1,0,0,48,2
382,0,0,0,48,2
383,0,1,1,47,2
384,1,1,1,47,2
385,0,0,0,47,2
386,1,1,1,47,2
387,0,1,1,46,2
388,0,0,0,46,2
389,1,0,0,47,2
390,3,1,1,49,2
391,0,0,0,49,2
392,0,1,1,48,2
393,0,0,0,48,2
394,1,0,0,49,2
395,0,1,1,48,2
396,1,0,0,49,2
397,4,1,1,52,2
398,1,0,0,53,2
399,0,0,0,53,2
400,5,2,2,56,2
401,0,0,0,56,2
402,0,0,0,56,2
403,0,1,1,55,2
404,1,0,0,56,2
405,1,1,1,56,2
406,0,0,0,56,2
407,0,2,2,54,2
408,1,0,0,55,2
409,0,0,0,55,2
410,0,0,0,55,2
411,1,1,1,55,2
412,0,1,1,54,2
413,0,0,0,54,2
414,0,0,0,54,2
415,1,0,0,55,2
416,0,1,1,54,2
417,0,1,1,53,2
418,1,0,0,54,2
419,0,1,1,53,2
420,1,0,0,54,2
421,0,0,0,54,2
422,1,1,1,54,2
423,0,1,1,53,2
424,0,0,0,53,2
425,0,0,0,53,2
426,1,0,0,54,2
427,0,2,2,52,2
428,0,0,0,52,2
429,1,0,0,53,2
430,0,1,1,52,2
431,1,0,0,53,2
432,1,1,1,53,2
433,1,1,1,53,2
434,0,0,0,53,2
435,0,0,0,53,2
436,0,1,1,52,2
437,1,0,0,53,2
438,0,1,1,52,2
439,1,0,0,53,2
440,0,1,1,52,2
441,1,1,1,52,2
442,0,0,0,52,2
443,1,1,1,52,2
444,1,1,1,52,2
445,0,0,0,52,2
446,0,1,1,51,2
447,0,1,1,50,2
448,2,1,1,51,2
449,0,0,0,51,2
450,0,0,0,51,2
451,1,1,1,51,2
452,0,1,1,50,2
453,2,0,0,52,2
454,0,0,0,52,2
455,0,0,0,52,2
456,1,1,1,52,2
457,0,1,1,51,2
458,0,0,0,51,2
459,0,1,1,50,2
460,1,0,0,51,2
461,0,0,0,51,2
462,1,2,2,50,2
463,0,0,0,50,2
464,0,0,0,50,2
465,0,0,0,50,2
466,1,1,1,50,2
467,0,1,1,49,2
468,1,0,0,50,2
469,0,0,0,50,2
470,0,1,1,49,2
471,1,1,1,49,2
472,0,0,0,49,2
473,0,0,0,49,2
474,0,2,2,47,2
475,1,0,0,48,2
476,0,1,1,47,2
477,1,0,0,48,2
478,0,1,1,47,2
479,1,1,1,47,2
480,0,0,0,47,2
481,0,0,0,47,2
482,0,0,0,47,2
483,0,2,2,45,2
484,0,0,0,45,2
485,0,0,0,45,2
486,0,1,1,44,2
487,0,1,1,43,2
488,0,0,0,43,2
489,0,0,0,43,2
490,0,1,1,42,2
491,0,1,1,41,2
492,0,0,0,41,2
493,0,0,0,41,2
494,0,1,1,40,2
495,0,0,0,40,2
496,0,2,2,38,2
497,0,0,0,38,2
498,0,1,1,37,2
499,0,0,0,37,2
500,0,1,1,36,2
501,0,0,0,36,2
502,0,1,1,35,2
503,0,0,0,35,2
504,0,1,1,34,2
505,0,0,0,34,2
506,0,0,0,34,2
507,0,1,1,33,2
508,0,0,0,33,2
509,0,1,1,32,2
510,0,0,0,32,2
511,0,1,1,31,2
512,0,0,0,31,2
513,0,1,1,30,2
514,0,1,1,29,2
515,0,0,0,29,2
516,0,1,1,28,2
517,0,0,0,28,2
518,0,1,1,27,2
519,0,0,0,27,2
520,0,1,1,26,2
521,0,0,0,26,2
522,0,1,1,25,2
523,0,0,0,25,2
524,0,1,1,24,2
525,0,0,0,24,2
526,0,0,0,24,2
527,0,1,1,23,2
528,0,1,1,22,2
529,0,0,0,22,2
530,0,1,1,21,2
531,0,1,1,20,2
532,0,0,0,20,2
533,0,0,0,20,2
534,0,1,1,19,2
535,0,0,0,19,2
536,0,1,1,18,2
537,0,1,1,17,2
538,0,0,0,17,2
539,0,0,0,17,2
540,0,1,1,16,2
541,0,1,1,15,2
542,0,0,0,15,2
543,0,0,0,15,2
544,0,1,1,14,2
545,0,1,1,13,2
546,0,0,0,13,2
547,0,0,0,13,2
548,0,1,1,12,2
549,0,1,1,11,2
550,0,0,0,11,2
551,0,0,0,11,2
552,0,1,1,10,2
553,0,1,1,9,2
554,0,0,0,9,2
555,0,1,1,8,2
556,0,1,1,7,2
557,0,0,0,7,2
558,0,0,0,7,2
559,0,0,0,7,2
560,0,2,2,5,2
561,0,0,0,5,2
562,0,0,0,5,2
563,0,0,0,5,2
564,0,1,1,4,2
565,0,1,1,3,2
566,0,0,0,3,2
567,0,0,0,3,2
568,0,0,0,3,2
569,0,2,2,1,2
570,0,0,0,1,2
571,0,0,0,1,2
572,0,1,1,0,2
573,0,0,0,0,2
574,0,0,2,0,0
